split,label,dataset,path
test,Artillery,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Artillery\military_object_dataset_008727_0.jpg
test,Artillery,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Artillery\military_object_dataset_008730_1.jpg
test,Artillery,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Artillery\military_object_dataset_008730_2.jpg
test,Artillery,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Artillery\military_object_dataset_008733_0.jpg
test,Artillery,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Artillery\military_object_dataset_008734_0.jpg
test,Artillery,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Artillery\military_object_dataset_008736_1.jpg
test,Artillery,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Artillery\military_object_dataset_008737_0.jpg
test,Artillery,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Artillery\military_object_dataset_008740_0.jpg
test,Artillery,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Artillery\military_object_dataset_008741_0.jpg
test,Artillery,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Artillery\military_object_dataset_008743_1.jpg
test,Artillery,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Artillery\military_object_dataset_008743_3.jpg
test,Artillery,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Artillery\military_object_dataset_008744_0.jpg
test,Artillery,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Artillery\military_object_dataset_008745_0.jpg
test,Artillery,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Artillery\military_object_dataset_008745_1.jpg
test,Artillery,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Artillery\military_object_dataset_008772_0.jpg
test,Artillery,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Artillery\military_object_dataset_008774_0.jpg
test,Artillery,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Artillery\military_object_dataset_008774_1.jpg
test,Artillery,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Artillery\military_object_dataset_008775_0.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_1061_0.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_1075_0.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_1297_1.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_1314_0.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_1314_1.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_1385_0.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_1385_1.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_1385_2.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_1385_3.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_1439_0.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_1492_0.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_1560_0.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_1591_0.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_1591_3.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_1619_0.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_1646_0.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_1646_1.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_184_0.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_298_0.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_339_0.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_339_1.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_394_0.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_394_1.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_394_2.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_394_3.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_44_0.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_570_0.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_570_1.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_570_2.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_587_0.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_603_0.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_603_1.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_603_2.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_603_3.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_60_0.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_60_1.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_60_3.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_60_4.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_649_0.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_649_1.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_692_0.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_692_1.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_745_0.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_862_1.jpg
test,M. Rocket Launcher,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\M. Rocket Launcher\KIIT-MiTA_image_s3r2_kiit_873_0.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_1062_0.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_1069_0.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_1099_0.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_110_0.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_1205_0.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_1244_0.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_1337_0.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_1337_1.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_1416_0.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_1494_0.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_1500_0.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_1530_0.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_1530_1.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_1535_0.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_1559_0.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_1623_0.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_1676_0.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_1676_1.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_172_0.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_223_0.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_223_1.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_223_2.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_223_3.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_390_0.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_390_1.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_390_2.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_390_3.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_571_0.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_571_1.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_581_0.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_629_0.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_697_1.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_697_2.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_697_3.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_697_4.jpg
test,Missile,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Missile\KIIT-MiTA_image_s3r2_kiit_885_0.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_1102_0.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_1204_0.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_1251_0.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_1256_0.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_1452_3.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_150_0.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_1528_0.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_1532_0.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_1543_0.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_1554_0.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_1557_0.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_1568_0.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_156_0.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_1591_1.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_1591_2.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_1638_0.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_1691_0.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_240_2.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_252_1.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_371_0.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_373_0.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_396_0.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_396_1.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_432_1.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_441_0.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_441_1.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_57_0.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_696_0.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_697_0.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_702_0.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_765_0.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_870_0.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_876_0.jpg
test,Radar,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Radar\KIIT-MiTA_image_s3r2_kiit_960_0.jpg
test,Soldier,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Soldier\KIIT-MiTA_image_s3r2_kiit_1317_0.jpg
test,Soldier,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Soldier\KIIT-MiTA_image_s3r2_kiit_1421_0.jpg
test,Soldier,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Soldier\KIIT-MiTA_image_s3r2_kiit_1466_1.jpg
test,Soldier,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Soldier\KIIT-MiTA_image_s3r2_kiit_230_4.jpg
test,Soldier,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Soldier\KIIT-MiTA_image_s3r2_kiit_386_4.jpg
test,Soldier,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Soldier\KIIT-MiTA_image_s3r2_kiit_58_1.jpg
test,Soldier,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Soldier\KIIT-MiTA_image_s3r2_kiit_832_0.jpg
test,Soldier,KIIT-MiTA,E:\Sentinel-X\Data\CNN-Data\test\Soldier\KIIT-MiTA_image_s3r2_kiit_845_0.jpg
test,Soldier,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Soldier\military_object_dataset_008647_3.jpg
test,Soldier,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Soldier\military_object_dataset_008671_3.jpg
test,Soldier,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Soldier\military_object_dataset_008737_4.jpg
test,Soldier,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Soldier\military_object_dataset_008748_3.jpg
test,Soldier,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Soldier\military_object_dataset_008815_1.jpg
test,Soldier,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Soldier\military_object_dataset_008843_1.jpg
test,Soldier,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Soldier\military_object_dataset_008875_0.jpg
test,Soldier,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Soldier\military_object_dataset_013412_0.jpg
test,Soldier,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Soldier\military_object_dataset_013419_0.jpg
test,Soldier,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Soldier\military_object_dataset_013423_0.jpg
test,Soldier,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Soldier\military_object_dataset_013445_0.jpg
test,Soldier,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Soldier\military_object_dataset_013451_1.jpg
test,Soldier,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Soldier\military_object_dataset_013460_0.jpg
test,Soldier,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Soldier\military_object_dataset_013465_1.jpg
test,Soldier,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Soldier\military_object_dataset_013472_0.jpg
test,Soldier,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Soldier\military_object_dataset_013480_0.jpg
test,Soldier,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Soldier\military_object_dataset_013493_4.jpg
test,Soldier,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Soldier\military_object_dataset_013512_4.jpg
test,Soldier,military_object_dataset,E:\Sentinel-X\Data\CNN-Data\test\Soldier\military_object_dataset_013521_0.jpg
